fold,epoch,train_loss,mape,rmse,metric
1,1,32994988.159640204,35.92991530895233,5744.1265,Train_Gpu_Memory_Mb
1,2,6009503.342884824,19.509249925613403,2451.4287,Train_Gpu_Memory_Mb
1,3,4638911.036862548,16.364894807338715,2153.8132,Train_Gpu_Memory_Mb
1,4,3680906.3709088797,14.215730130672455,1918.5688,Train_Gpu_Memory_Mb
1,5,3340411.1263726884,12.592180073261261,1827.6792,Train_Gpu_Memory_Mb
1,6,3139918.313856825,11.854249238967896,1771.9814,Train_Gpu_Memory_Mb
1,7,3062284.424574771,11.8816576898098,1749.9384,Train_Gpu_Memory_Mb
1,8,2846505.4319464825,11.258779466152191,1687.159,Train_Gpu_Memory_Mb
1,9,2713702.4969713916,10.503937304019928,1647.3319,Train_Gpu_Memory_Mb
1,10,2537047.736674797,10.54006740450859,1592.8113,Train_Gpu_Memory_Mb
1,11,2417804.6264655716,10.31184121966362,1554.9291,Train_Gpu_Memory_Mb
1,12,2416277.0202417253,10.24441346526146,1554.4379,Train_Gpu_Memory_Mb
1,13,2374588.212606767,9.887600690126419,1540.9698,Train_Gpu_Memory_Mb
1,14,2178101.6193502042,9.603571146726608,1475.8392,Train_Gpu_Memory_Mb
1,15,2143844.272752812,9.412585943937302,1464.1874,Train_Gpu_Memory_Mb
1,16,2142517.944974597,9.685717523097992,1463.7341,Train_Gpu_Memory_Mb
1,17,1974291.457355146,9.10567194223404,1405.0948,Train_Gpu_Memory_Mb
1,18,1878828.962457428,8.935485035181046,1370.7039,Train_Gpu_Memory_Mb
1,19,1959240.6047331614,9.010392427444458,1399.7288,Train_Gpu_Memory_Mb
1,20,1976269.0432581163,8.924867957830429,1405.7983,Train_Gpu_Memory_Mb
1,21,1844059.3583293618,8.449863642454147,1357.9614,Train_Gpu_Memory_Mb
1,22,1770753.1198894524,8.638540655374527,1330.6965,Train_Gpu_Memory_Mb
1,23,1781123.5223602154,8.68000015616417,1334.5875,Train_Gpu_Memory_Mb
1,24,1802141.6566346611,8.26268345117569,1342.4387,Train_Gpu_Memory_Mb
1,25,1845378.9553353162,8.407457172870636,1358.4473,Train_Gpu_Memory_Mb
1,26,1649825.6837921366,8.14582109451294,1284.4554,Train_Gpu_Memory_Mb
1,27,1800179.5098801441,8.288726210594177,1341.7076,Train_Gpu_Memory_Mb
1,28,1713049.0948613416,8.243793249130249,1308.8351,Train_Gpu_Memory_Mb
1,29,1720459.6950593153,8.385566622018814,1311.663,Train_Gpu_Memory_Mb
1,30,1652047.3151550607,8.077427744865417,1285.32,Train_Gpu_Memory_Mb
1,31,1585233.4657800747,8.040021359920502,1259.0605,Train_Gpu_Memory_Mb
1,32,1600876.6948460012,8.080454170703888,1265.2576,Train_Gpu_Memory_Mb
1,33,1643214.788112885,7.9224854707717896,1281.8793,Train_Gpu_Memory_Mb
1,34,1584434.2735115134,7.863421738147736,1258.7432,Train_Gpu_Memory_Mb
1,35,1538671.1270463986,7.835346460342407,1240.4319,Train_Gpu_Memory_Mb
1,36,1520734.015179469,7.706817239522934,1233.1805,Train_Gpu_Memory_Mb
1,37,1587477.1102441626,7.6908402144908905,1259.9512,Train_Gpu_Memory_Mb
1,38,1644613.5867485714,7.702728360891342,1282.4249,Train_Gpu_Memory_Mb
